system_id,system_public_name,site_location,timezone_or_utc_offset,latitude,longitude,elevation_m,dc_capacity_kW,kg_climate,pvcz_composite,pvcz_t_rack,pvcz_t_roof,pvcz_humidity,pvcz_wind,tracking,type,azimuth,tilt,first_timestamp,last_timestamp,years,number_records,dataset_size_mb,available_sensor_channels,qa_status,qa_issue,,,,,
1262,Residential - NOLA -19 - District E,"New Orleans, LA",America/Chicago,29.9809,-90.0023,10,4.23,Cfa,44,4,7,4,4,fixed,roof,195,30,2/8/2012 13:06,3/19/2013 11:56,1.1095,328284,7.51,4,fail,,,,,,
1263,Residential - NOLA -20 - District E,"New Orleans, LA",America/Chicago,29.9809,-90.0023,10,4.14,Cfa,44,4,7,4,4,fixed,roof,195,28,2/8/2012 13:32,9/21/2015 18:50,3.6191,1420884,32.52,4,fail,,,,,,
1264,Residential - NOLA -21 - District E,"New Orleans, LA",America/Chicago,29.9809,-90.0023,10,4.32,Cfa,44,4,7,4,4,fixed,roof,195,35,12/11/2011 3:46,9/21/2015 18:50,3.7808,1463448,33.5,4,fail,,,,,,
1265,Residential - NOLA -22 - District E,"New Orleans, LA",America/Chicago,29.9809,-90.0023,10,2.7,Cfa,44,4,7,4,4,fixed,roof,195,30,2/29/2012 4:36,9/21/2015 18:50,3.5616,1423168,32.57,4,fail,,,,,,
1266,Residential - NOLA -23 - District E,"New Orleans, LA",America/Chicago,29.9809,-90.0023,10,2.8,Cfa,44,4,7,4,4,fixed,roof,195,35,3/1/2012 12:10,9/21/2015 18:50,3.5589,1463812,33.5,4,fail,,,,,,
1267,Residential - NOLA -24 - District E,"New Orleans, LA",America/Chicago,29.9809,-90.0023,10,2.8,Cfa,44,4,7,4,4,fixed,roof,190,30,3/1/2012 10:04,12/22/2012 3:37,0.8109,308792,7.07,4,fail,,,,,,
1268,Residential - NOLA -25 - District E,"New Orleans, LA",America/Chicago,29.9809,-90.0023,10,4.14,Cfa,44,4,7,4,4,fixed,roof,195,28,12/14/2011 23:12,9/21/2015 18:50,3.7726,1337696,30.62,4,fail,,,,,,
1269,Residential - NOLA -26 - District E,"New Orleans, LA",America/Chicago,29.9809,-90.0023,10,4.14,Cfa,44,4,7,4,4,fixed,roof,195,30,3/1/2012 10:55,9/21/2015 18:50,3.5589,1378416,31.55,4,fail,,,,,,
1270,Residential - NOLA -27 - District E,"New Orleans, LA",America/Chicago,29.9809,-90.0023,10,2.8,Cfa,44,4,7,4,4,fixed,roof,195,20,2/8/2012 14:00,9/21/2015 18:50,3.6191,1480324,33.88,4,fail,,,,,,
1271,Residential - NOLA -28 - District E,"New Orleans, LA",America/Chicago,29.9809,-90.0023,10,4.32,Cfa,44,4,7,4,4,fixed,roof,195,28,3/2/2012 13:36,9/12/2015 2:45,3.5315,1443684,33.04,4,fail,,,,,,
